gender,Year,Mean BMI,Mean BMI 2,Mean BMI3,Prevelance of Obesity,Prevelance of Obesity2
Men,1975,21.66,21.27,22.04,0.02,0.04
Men,1976,21.72,21.37,22.08,0.02,0.04
Men,1977,21.79,21.46,22.12,0.03,0.04
Men,1978,21.86,21.56,22.15,0.03,0.04
Men,1979,21.92,21.65,22.20,0.03,0.04
Men,1980,21.99,21.75,22.24,0.03,0.04
Men,1981,22.06,21.84,22.29,0.03,0.04
Men,1982,22.13,21.93,22.34,0.03,0.05
Men,1983,22.20,22.01,22.40,0.03,0.05
Men,1984,22.27,22.09,22.46,0.04,0.05
Men,1985,22.34,22.18,22.52,0.04,0.05
Men,1986,22.41,22.25,22.57,0.04,0.05
Men,1987,22.48,22.33,22.63,0.04,0.05
Men,1988,22.54,22.41,22.68,0.04,0.05
Men,1989,22.60,22.47,22.73,0.04,0.05
Men,1990,22.67,22.55,22.79,0.04,0.06
Men,1991,22.73,22.61,22.84,0.05,0.06
Men,1992,22.79,22.68,22.90,0.05,0.06
Men,1993,22.85,22.74,22.96,0.05,0.06
Men,1994,22.91,22.81,23.02,0.05,0.06
Men,1995,22.97,22.87,23.08,0.05,0.06
Men,1996,23.03,22.94,23.13,0.06,0.07
Men,1997,23.10,23.00,23.20,0.06,0.07
Men,1998,23.16,23.07,23.26,0.06,0.07
Men,1999,23.23,23.14,23.32,0.06,0.07
Men,2000,23.30,23.21,23.39,0.06,0.07
Men,2001,23.36,23.28,23.45,0.07,0.08
Men,2002,23.43,23.35,23.52,0.07,0.08
Men,2003,23.50,23.42,23.59,0.07,0.08
Men,2004,23.58,23.49,23.66,0.07,0.08
Men,2005,23.65,23.56,23.73,0.08,0.09
Men,2006,23.72,23.64,23.80,0.08,0.09
Men,2007,23.79,23.71,23.88,0.08,0.09
Men,2008,23.87,23.78,23.95,0.08,0.10
Men,2009,23.94,23.85,24.03,0.09,0.10
Men,2010,24.01,23.92,24.10,0.09,0.10
Men,2011,24.08,23.99,24.18,0.09,0.11
Men,2012,24.16,24.05,24.26,0.09,0.11
Men,2013,24.23,24.11,24.35,0.10,0.11
Men,2014,24.31,24.16,24.44,0.10,0.12
Men,2015,24.38,24.22,24.54,0.10,0.12
Men,2016,24.46,24.27,24.65,0.11,0.13
Women,1975,22.08,21.68,22.50,0.05,0.08
Women,1976,22.14,21.77,22.54,0.06,0.08
Women,1977,22.21,21.86,22.57,0.06,0.08
Women,1978,22.27,21.95,22.61,0.06,0.08
Women,1979,22.34,22.04,22.64,0.06,0.08
Women,1980,22.40,22.13,22.68,0.06,0.08
Women,1981,22.47,22.22,22.73,0.06,0.09
Women,1982,22.53,22.31,22.77,0.07,0.09
Women,1983,22.60,22.39,22.82,0.07,0.09
Women,1984,22.67,22.47,22.87,0.07,0.09
Women,1985,22.74,22.55,22.92,0.07,0.09
Women,1986,22.80,22.63,22.98,0.07,0.09
Women,1987,22.87,22.70,23.03,0.08,0.09
Women,1988,22.93,22.78,23.08,0.08,0.09
Women,1989,22.99,22.85,23.13,0.08,0.10
Women,1990,23.06,22.92,23.19,0.08,0.10
Women,1991,23.12,22.99,23.24,0.09,0.10
Women,1992,23.18,23.06,23.30,0.09,0.10
Women,1993,23.24,23.13,23.35,0.09,0.10
Women,1994,23.30,23.19,23.41,0.09,0.10
Women,1995,23.36,23.26,23.47,0.09,0.11
Women,1996,23.43,23.32,23.53,0.10,0.11
Women,1997,23.49,23.39,23.59,0.10,0.11
Women,1998,23.56,23.46,23.65,0.10,0.11
Women,1999,23.62,23.53,23.72,0.10,0.11
Women,2000,23.69,23.59,23.78,0.11,0.12
Women,2001,23.75,23.66,23.85,0.11,0.12
Women,2002,23.82,23.73,23.91,0.11,0.12
Women,2003,23.89,23.80,23.98,0.11,0.12
Women,2004,23.95,23.87,24.04,0.12,0.13
Women,2005,24.02,23.93,24.11,0.12,0.13
Women,2006,24.09,24.00,24.17,0.12,0.13
Women,2007,24.15,24.07,24.24,0.12,0.13
Women,2008,24.22,24.13,24.31,0.13,0.14
Women,2009,24.29,24.20,24.38,0.13,0.14
Women,2010,24.36,24.26,24.45,0.13,0.14
Women,2011,24.42,24.31,24.53,0.13,0.15
Women,2012,24.49,24.37,24.61,0.14,0.15
Women,2013,24.55,24.42,24.69,0.14,0.16
Women,2014,24.62,24.47,24.78,0.14,0.16
Women,2015,24.69,24.51,24.86,0.14,0.16
Women,2016,24.75,24.55,24.95,0.15,0.17
