Age,Food_type,Expense
15-24 yrs,Bakery products,267
15-24 yrs,Confectionary etc.,428
15-24 yrs,Dairy products,250
15-24 yrs,Fruit & vegetables,422
15-24 yrs,Meals out & fast foods,1912
15-24 yrs,"Meat, fish & seafood",443
15-24 yrs,Non-alcoholic beverages,341
15-24 yrs,Other food,566
25-34 yrs,Bakery products,305
25-34 yrs,Confectionary etc.,437
25-34 yrs,Dairy products,261
25-34 yrs,Fruit & vegetables,490
25-34 yrs,Meals out & fast foods,1917
25-34 yrs,"Meat, fish & seafood",470
25-34 yrs,Non-alcoholic beverages,277
25-34 yrs,Other food,435
35-44 yrs,Bakery products,376
35-44 yrs,Confectionary etc.,484
35-44 yrs,Dairy products,274
35-44 yrs,Fruit & vegetables,515
35-44 yrs,Meals out & fast foods,1375
35-44 yrs,"Meat, fish & seafood",548
35-44 yrs,Non-alcoholic beverages,251
35-44 yrs,Other food,345
45-54 yrs,Bakery products,413
45-54 yrs,Confectionary etc.,540
45-54 yrs,Dairy products,297
45-54 yrs,Fruit & vegetables,586
45-54 yrs,Meals out & fast foods,1664
45-54 yrs,"Meat, fish & seafood",686
45-54 yrs,Non-alcoholic beverages,323
45-54 yrs,Other food,378
55-64 yrs,Bakery products,458
55-64 yrs,Confectionary etc.,580
55-64 yrs,Dairy products,351
55-64 yrs,Fruit & vegetables,737
55-64 yrs,Meals out & fast foods,1901
55-64 yrs,"Meat, fish & seafood",835
55-64 yrs,Non-alcoholic beverages,345
55-64 yrs,Other food,368
65+ yrs,Bakery products,464
65+ yrs,Confectionary etc.,533
65+ yrs,Dairy products,359
65+ yrs,Fruit & vegetables,777
65+ yrs,Meals out & fast foods,1221
65+ yrs,"Meat, fish & seafood",795
65+ yrs,Non-alcoholic beverages,322
65+ yrs,Other food,265
