Year, Number of serves, Number of Respondents, Per cent, LL 95% CI, UL 95% CI,Number,Population,Number,1,Children,,,,,,,
2004, 0 Serves,3673,3.6,2.9,4.4,132.228,19879649,71566736.4,13239846.23,13.24,,,,,,,
2004, 0-1 serves,3673,7.9,6.8,9,290.167,19879649,157049227.1,29054107.01,29.05,,,,,,,
2004, 1 serve,3673,36.4,34.5,38.3,1336.972,19879649,723619223.6,133869556.4,133.87,,,,,,,
2004, 2 serves,3673,27.7,25.9,29.4,1017.421,19879649,550666277.3,101873261.3,101.87,,,,,,,
2004, 3 serves,3673,13.8,12.4,15.1,506.874,19879649,274339156.2,50752743.9,50.75,,,,,,,
2004, 4 serves,3673,7.3,6.3,8.3,268.129,19879649,145121437.7,26847465.97,26.85,,,,,,,
2004, 5 serves,3673,2,1.5,2.5,73.46,19879649,39759298,7355470.13,7.36,,,,,,,
2004, 6 serves,3673,0.8,0.4,1.1,29.384,19879649,15903719.2,2942188.052,2.94,,,,,,,
2004, 7+ serves,3673,0.6,0.2,0.9,22.038,19879649,11927789.4,2206641.039,2.21,,,,,,,
2006, 0 Serves,4569,2.9,2.3,3.5,132.501,20526303,59526278.7,11012361.56,11.01,,,,,,,
2006, 0-1 serves,4569,6.6,5.6,7.5,301.554,20526303,135473599.8,25062615.96,25.06,,,,,,,
2006, 1 serve,4569,35.3,33.5,37.1,1612.857,20526303,724578495.9,134047021.7,134.05,,,,,,,
2006, 2 serves,4569,26.9,25.3,28.6,1229.061,20526303,552157550.7,102149146.9,102.15,,,,,,,
2006, 3 serves,4569,16.1,14.7,17.4,735.609,20526303,330473478.3,61137593.49,61.14,,,,,,,
2006, 4 serves,4569,7.9,6.9,8.9,360.951,20526303,162157793.7,29999191.83,30.00,,,,,,,
2006, 5 serves,4569,3.1,2.5,3.7,141.639,20526303,63631539.3,11771834.77,11.77,,,,,,,
2006, 6 serves,4569,0.9,0.5,1.3,41.121,20526303,18473672.7,3417629.45,3.42,,,,,,,
2006, 7+ serves,4569,0.3,0.1,0.5,13.707,20526303,6157890.9,1139209.817,1.14,,,,,,,
2008, 0 Serves,3546,3.2,2.5,3.9,113.472,21332282,68263302.4,12628710.94,12.63,,,,,,,
2008, 0-1 serves,3546,5,4.2,5.8,177.3,21332282,106661410,19732360.85,19.73,,,,,,,
2008, 1 serve,3546,31.1,29.3,32.9,1102.806,21332282,663433970.2,122735284.5,122.74,,,,,,,
2008, 2 serves,3546,30,28.2,31.8,1063.8,21332282,639968460,118394165.1,118.39,,,,,,,
2008, 3 serves,3546,17.7,16.2,19.1,627.642,21332282,377581391.4,69852557.41,69.85,,,,,,,
2008, 4 serves,3546,7.8,6.8,8.8,276.588,21332282,166391799.6,30782482.93,30.78,,,,,,,
2008, 5 serves,3546,3.8,3.1,4.5,134.748,21332282,81062671.6,14996594.25,15.00,,,,,,,
2008, 6 serves,3546,1,0.6,1.3,35.46,21332282,21332282,3946472.17,3.95,,,,,,,
2008, 7+ serves,3546,0.4,0.2,0.6,14.184,21332282,8532912.8,1578588.868,1.58,,,,,,,
2010, 0 Serves,3903,3,2.3,3.7,117.09,22154679,66464037,12295846.85,12.30,,,,,,,
2010, 0-1 serves,3903,5.6,4.7,6.5,218.568,22154679,124066202.4,22952247.44,22.95,,,,,,,
2010, 1 serve,3903,32.1,30.3,34,1252.863,22154679,711165195.9,131565561.2,131.57,,,,,,,
2010, 2 serves,3903,30.7,28.9,32.5,1198.221,22154679,680148645.3,125827499.4,125.83,,,,,,,
2010, 3 serves,3903,15.9,14.5,17.3,620.577,22154679,352259396.1,65167988.28,65.17,,,,,,,
2010, 4 serves,3903,7.6,6.6,8.7,296.628,22154679,168375560.4,31149478.67,31.15,,,,,,,
2010, 5 serves,3903,3.5,2.9,4.2,136.605,22154679,77541376.5,14345154.65,14.35,,,,,,,
2010, 6 serves,3903,0.8,0.4,1.2,31.224,22154679,17723743.2,3278892.492,3.28,,,,,,,
2010, 7+ serves,3903,0.7,0.3,1,27.321,22154679,15508275.3,2869030.931,2.87,,,,,,,
2012, 0 Serves,3378,2.9,2,3.8,97.962,22903948,66421449.2,12287968.1,12.29,,,,,,,
2012, 0-1 serves,3378,5.7,4.5,6.9,192.546,22903948,130552503.6,24152213.17,24.15,,,,,,,
2012, 1 serve,3378,33,30.6,35.3,1114.74,22903948,755830284,139828602.5,139.83,,,,,,,
2012, 2 serves,3378,29.2,27,31.4,986.376,22903948,668795281.6,123727127.1,123.73,,,,,,,
2012, 3 serves,3378,17.4,15.5,19.3,587.772,22903948,398528695.2,73727808.61,73.73,,,,,,,
2012, 4 serves,3378,6.9,5.6,8.1,233.082,22903948,158037241.2,29236889.62,29.24,,,,,,,
2012, 5 serves,3378,3.7,2.9,4.6,124.986,22903948,84744607.6,15677752.41,15.68,,,,,,,
2012, 6 serves,3378,0.9,0.5,1.4,30.402,22903948,20613553.2,3813507.342,3.81,,,,,,,
2012, 7+ serves,3378,0.4,0.1,0.6,13.512,22903948,9161579.2,1694892.152,1.69,,,,,,,
2014, 0 Serves,3643,2.5,1.6,3.3,91.075,23596424,58991060,10913346.1,10.91,,,,,,,
2014, 0-1 serves,3643,7.2,5.7,8.7,262.296,23596424,169894252.8,31430436.77,31.43,,,,,,,
2014, 1 serve,3643,31.2,28.7,33.7,1136.616,23596424,736208428.8,136198559.3,136.20,,,,,,,
2014, 2 serves,3643,30.7,28.1,33.3,1118.401,23596424,724410216.8,134015890.1,134.02,,,,,,,
2014, 3 serves,3643,16.4,14.5,18.2,597.452,23596424,386981353.6,71591550.42,71.59,,,,,,,
2014, 4 serves,3643,7,5.8,8.3,255.01,23596424,165174968,30557369.08,30.56,,,,,,,
2014, 5 serves,3643,3.5,2.6,4.4,127.505,23596424,82587484,15278684.54,15.28,,,,,,,
2014, 6 serves,3643,0.9,0.5,1.3,32.787,23596424,21236781.6,3928804.596,3.93,,,,,,,
2014, 7+ serves,3643,0.6,0.2,1,21.858,23596424,14157854.4,2619203.064,2.62,,,,,,,
2016, 0 Serves,4095,2.9,2.1,3.6,118.755,24262712,70361864.8,13016944.99,13.02,,,,,,,
2016, 0-1 serves,4095,5.7,4.6,6.7,233.415,24262712,138297458.4,25585029.8,25.59,,,,,,,
2016, 1 serve,4095,32.5,30.3,34.7,1330.875,24262712,788538140,145879555.9,145.88,,,,,,,
2016, 2 serves,4095,29.9,27.7,32.1,1224.405,24262712,725455088.8,134209191.4,134.21,,,,,,,
2016, 3 serves,4095,15.9,14.2,17.5,651.105,24262712,385777120.8,71368767.35,71.37,,,,,,,
2016, 4 serves,4095,7.8,6.6,9,319.41,24262712,189249153.6,35011093.42,35.01,,,,,,,
2016, 5 serves,4095,3.4,2.5,4.3,139.23,24262712,82493220.8,15261245.85,15.26,,,,,,,
2016, 6 serves,4095,1.4,0.7,2,57.33,24262712,33967796.8,6284042.408,6.28,,,,,,,
2016, 7+ serves,4095,0.6,0.3,0.9,24.57,24262712,14557627.2,2693161.032,2.69,,,,,,,
2018, 0 Serves,3746,2.6,1.8,3.3,97.396,24898152,64735195.2,11976011.11,11.98,,,,,,,
2018, 0-1 serves,3746,5.7,4.5,6.8,213.522,24898152,141919466.4,26255101.28,26.26,,,,,,,
2018, 1 serve,3746,36.6,34.3,38.9,1371.036,24898152,911272363.2,168585387.2,168.59,,,,,,,
2018, 2 serves,3746,30.7,28.5,32.8,1150.022,24898152,764373266.4,141409054.3,141.41,,,,,,,
2018, 3 serves,3746,15.1,13.3,16.9,565.646,24898152,375962095.2,69552987.61,69.55,,,,,,,
2018, 4 serves,3746,5.9,4.8,7.1,221.014,24898152,146899096.8,27176332.91,27.18,,,,,,,
2018, 5 serves,3746,2.4,1.6,3.1,89.904,24898152,59755564.8,11054779.49,11.05,,,,,,,
2018, 6 serves,3746,0.7,0.4,1.1,26.222,24898152,17428706.4,3224310.684,3.22,,,,,,,
2018, 7+ serves,3746,0.4,0.1,0.6,14.984,24898152,9959260.8,1842463.248,1.84,,,,,,,
